city_pop,job,dob,trans_date,trans_time,amt,merchant,customer_num_trans_1_day,customer_num_trans_7_day,customer_num_trans_30_day,trans_time_secs,trans_time_hrs,trans_time_is_night,trans_time_day,trans_date_is_weekend,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day,customer_txn_count,avg_amt_per_customer,merchant_txn_count,gender_M,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
1800,152,1986-07-09,2022-12-20,23:57:37,78.0,276,1,1,6,57415,7,0,1,0,80.7,72.41,42.92,4119.84,82069.11,92017.25,1,10,22,46,17,128.12588235294118,129,True,False,False,False,False,True,False,False,False,False,False,False,False,False
8537,218,1948-10-04,2022-10-28,11:08:06,1.63,547,6,9,18,54242,22,1,4,0,74.14,86.85,26.23,583.54,14588.1,806998.04,6,9,10,29,11,36.623636363636365,154,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148476,624,1961-06-05,2022-08-08,08:54:34,52.58,297,1,2,10,10555,19,0,0,0,75.93,52.85,7.38,4313.32,23263.11,996663.38,7,12,19,46,6,21.31833333333333,144,False,False,False,False,False,False,False,False,False,True,False,False,False,False
191096,50,1973-11-14,2023-01-17,22:02:54,16.74,15,1,2,11,79082,14,0,1,0,77.15,59.43,60.4,2588.1,76816.51,859985.15,6,13,16,16,25,70.3884,175,False,False,False,False,False,False,True,False,False,False,False,False,False,False
107897,186,1975-06-23,2022-10-03,19:53:16,4.09,198,3,7,12,76199,23,1,0,0,68.51,31.57,36.34,2853.66,18927.3,596965.19,5,13,19,33,6,38.998333333333335,154,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1577385,440,1976-01-23,2022-05-19,10:17:44,61.47,381,6,10,20,27776,14,0,3,0,89.3,82.84,24.06,2925.99,53837.66,68535.32,7,12,15,50,23,72.34391304347827,181,True,False,True,False,False,False,False,False,False,False,False,False,False,False
120577,367,1979-10-05,2023-01-20,18:43:00,78.28,456,2,2,11,53149,7,0,4,0,59.13,59.36,5.84,2211.94,32605.08,397746.25,5,15,23,41,16,30.990624999999998,200,True,False,False,False,False,False,True,False,False,False,False,False,False,False
242037,295,1989-08-24,2022-08-11,07:04:18,37.01,682,5,8,18,38507,15,0,3,0,54.45,5.2,69.8,104.17,66048.97,432767.97,1,5,11,47,26,91.52807692307692,138,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40042,5,1991-09-06,2023-02-23,20:07:07,379.42,546,3,8,17,1844,5,0,3,0,69.51,31.61,11.7,625.36,73988.78,446687.47,1,7,21,32,21,97.28142857142858,146,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36535,566,1988-11-19,2022-05-27,09:09:26,35.4,446,3,5,15,51261,4,0,4,0,45.05,24.43,21.22,3825.37,94738.27,419475.4,5,8,19,25,13,79.61307692307693,93,False,False,False,True,False,False,False,False,False,False,False,False,False,False
37941,5,1998-11-07,2023-02-10,23:47:57,4.43,155,1,1,6,11470,19,0,4,0,29.75,56.84,1.28,2950.24,29662.57,965815.86,5,8,23,12,20,24.7785,195,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2383912,124,1982-11-23,2023-03-18,20:26:25,22.57,643,5,10,18,77238,6,0,5,1,33.5,43.87,58.17,4180.9,47243.12,689861.53,4,12,12,42,12,92.14,176,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12207,169,1975-01-04,2022-06-04,02:18:18,62.18,18,5,7,13,21784,10,0,5,1,81.04,67.02,63.87,1064.09,58796.53,216029.64,2,12,15,35,15,115.984,79,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6627,594,1999-11-19,2022-05-24,01:09:40,52.09,43,6,11,17,64578,9,0,1,0,61.4,20.0,56.41,1939.68,35520.63,593850.74,7,10,18,46,28,52.815,178,False,False,True,False,False,False,False,False,False,False,False,False,False,False
53311,491,1985-03-08,2022-07-18,10:29:57,27.54,147,2,3,8,44557,4,0,0,0,36.15,82.14,16.23,2624.93,8321.95,709965.82,5,6,13,8,7,24.377142857142854,186,True,False,False,False,True,False,False,False,False,False,False,False,False,False
5844,546,1989-05-24,2022-12-25,15:48:18,595.35,690,1,6,16,48378,20,0,6,1,49.33,62.77,33.94,417.7,9950.49,378560.68,0,2,15,45,12,168.32833333333332,124,False,False,False,False,False,True,False,False,False,False,False,False,False,False
54129,391,2003-01-03,2023-02-23,23:06:07,111.76,369,2,2,7,35661,0,1,3,0,49.61,53.21,41.58,2076.28,39039.05,193712.66,2,14,15,33,21,55.16095238095239,168,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2680484,520,1984-03-06,2022-08-31,14:12:05,124.1,256,1,2,11,81814,2,1,2,0,53.18,19.86,47.68,3445.95,32812.6,166764.5,7,15,21,42,13,82.00076923076924,162,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35131,523,1972-08-19,2022-06-03,09:24:39,86.38,444,5,10,17,4702,4,0,4,0,36.37,70.38,26.57,3020.78,50376.32,709849.15,0,11,17,24,16,66.31875,169,True,False,True,False,False,False,False,False,False,False,False,False,False,False
168159,469,1973-12-27,2023-02-02,22:17:18,27.65,89,1,1,7,38245,9,0,3,0,21.68,28.17,61.98,4241.4,65481.61,794617.8,1,10,13,41,24,78.69625,189,True,False,False,False,False,False,True,False,False,False,False,False,False,False
20078,370,1980-07-24,2023-01-06,23:06:48,9.15,526,4,6,13,80298,10,0,4,0,80.29,1.1,47.18,3872.44,22368.72,138385.41,7,15,15,46,11,39.695454545454545,114,True,False,False,False,False,True,False,False,False,False,False,False,False,False
54324,76,1994-05-01,2022-05-29,04:35:58,83.76,321,1,1,9,19453,3,1,6,1,86.05,59.04,29.44,4078.43,29982.31,989377.97,3,11,12,17,14,58.19428571428572,173,True,False,True,False,False,False,False,False,False,False,False,False,False,False
13269,233,1974-04-24,2022-09-30,13:12:06,25.12,131,4,4,9,6527,22,1,4,0,64.03,6.87,29.36,3290.65,7978.96,498274.28,6,6,20,22,25,111.26799999999999,196,False,False,False,False,False,False,False,False,False,False,False,False,True,False
141692,382,1992-11-19,2022-12-25,12:05:29,69.94,138,0,2,11,11914,10,0,6,1,23.88,75.98,41.99,1838.1,26501.52,103288.36,2,2,13,24,17,56.019999999999996,117,False,False,False,False,False,True,False,False,False,False,False,False,False,False
118592,48,1984-10-09,2023-02-24,13:29:24,26.71,169,1,3,10,37137,17,0,4,0,44.52,81.03,26.29,1433.55,6220.31,1076810.11,3,15,18,33,16,97.8325,174,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135222,610,1990-11-26,2022-11-16,13:07:11,66.31,595,2,7,14,83240,4,0,2,0,33.67,14.65,65.16,4233.54,77446.24,778474.4,6,15,22,49,25,58.304399999999994,141,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2906700,101,1974-10-15,2023-02-14,13:16:58,23.11,680,1,3,9,35124,7,0,1,0,65.7,70.06,11.04,3357.48,28135.94,831136.33,1,4,19,6,8,85.47625,192,True,False,False,False,False,False,True,False,False,False,False,False,False,False
23266,386,1988-03-22,2022-06-10,11:55:06,246.55,255,4,4,14,42434,19,0,4,0,75.93,36.54,50.94,2232.29,44531.26,1018204.83,6,9,11,42,13,110.17692307692307,77,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21063,27,2000-10-19,2022-12-24,15:07:06,6.7,648,0,5,14,23634,22,1,5,1,7.23,23.78,63.23,4993.28,19106.22,12051.9,0,9,9,25,17,98.74705882352941,161,True,True,False,False,False,False,False,False,False,False,False,False,False,False
33396,115,1975-09-13,2022-11-12,12:54:58,1.25,644,2,3,8,48930,19,0,5,1,6.54,21.81,38.27,2493.51,38343.48,669850.04,0,12,20,30,20,121.6185,156,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17412,19,1965-08-10,2022-11-21,10:25:42,3.24,205,6,9,15,22350,10,0,0,0,63.78,84.55,20.57,3452.81,94042.43,575556.39,7,7,18,26,12,97.84583333333335,156,False,True,False,False,False,False,False,False,False,False,False,False,False,False
87558,213,2008-05-10,2022-06-08,02:41:17,27.79,285,6,11,18,16424,8,0,2,0,27.54,85.21,56.96,3096.69,97592.93,325016.46,4,9,17,44,24,60.57708333333334,182,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1866,203,1997-05-05,2022-09-22,07:43:34,88.96,610,6,7,15,1270,1,1,3,0,86.63,32.54,67.55,1852.27,1256.3,952793.49,7,12,23,26,13,137.08461538461538,191,True,False,False,False,False,False,False,False,False,False,False,False,True,False
85490,196,1975-03-05,2022-09-01,21:57:52,58.63,392,4,7,13,82332,5,0,3,0,13.26,30.89,56.16,730.04,7100.79,617372.34,4,14,20,31,22,87.19772727272726,172,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1595797,317,1969-06-22,2022-10-06,04:29:22,13.81,201,3,8,15,56413,23,1,3,0,19.35,50.85,62.51,2196.6,44024.14,729919.32,1,14,23,35,9,37.77444444444445,185,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5934,242,1964-06-12,2022-09-20,08:12:00,59.49,67,0,3,13,37283,14,0,1,0,20.88,37.52,14.9,1233.0,72630.58,19936.24,3,10,16,24,12,41.93416666666666,208,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1251,492,1991-11-10,2022-08-23,04:53:12,88.77,8,0,1,8,78322,11,0,1,0,63.25,46.34,56.97,1136.11,32208.31,159209.73,3,5,13,32,13,71.77153846153846,147,True,False,False,False,False,False,False,False,False,False,False,True,False,False
47472,434,1996-01-15,2023-03-06,20:38:45,77.88,612,0,3,12,37967,21,1,0,0,63.77,85.38,6.73,4459.76,95946.59,290141.18,3,14,20,18,13,164.48615384615385,185,False,False,False,False,False,False,False,True,False,False,False,False,False,False
202193,637,1953-10-26,2022-05-20,09:13:18,119.23,498,2,5,12,79668,5,0,4,0,1.22,88.76,42.87,3177.61,29491.88,671907.73,5,14,15,33,6,45.32,154,False,False,True,False,False,False,False,False,False,False,False,False,False,False
136,89,2008-07-02,2022-08-29,13:00:57,122.79,414,4,8,13,36104,13,0,0,0,5.37,81.3,2.87,3489.29,47440.05,635794.36,6,6,13,36,18,103.39555555555555,149,False,False,False,False,False,False,False,False,False,True,False,False,False,False
84721,449,1993-07-28,2022-11-09,12:57:19,15.58,294,6,7,13,20920,13,0,2,0,50.69,56.84,17.41,4286.93,23090.94,384270.89,3,13,16,41,24,69.66791666666667,130,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2680484,505,1956-07-13,2022-07-15,10:24:53,79.51,447,0,3,11,17279,1,1,4,0,64.42,52.74,2.95,2314.33,51217.11,406215.49,5,10,14,46,4,63.8425,206,False,False,False,False,True,False,False,False,False,False,False,False,False,False
278067,611,1993-07-22,2022-10-30,17:23:13,28.74,48,6,10,20,29668,16,0,6,1,42.66,14.17,47.09,501.46,5267.22,694703.84,1,10,23,31,17,69.18117647058823,195,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1737737,415,1993-07-30,2023-03-26,16:00:36,2.2,112,4,5,14,315,2,1,6,1,77.08,43.03,24.52,3952.78,7778.26,246631.35,6,13,17,30,22,90.71636363636364,183,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13612,21,1999-01-15,2022-06-21,11:16:00,86.19,208,5,10,18,5288,12,0,1,0,60.52,82.51,37.72,972.35,76479.77,50750.99,5,14,15,24,21,45.03333333333333,178,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60722,359,1986-07-17,2022-06-07,02:25:26,85.6,488,0,2,7,66284,12,0,1,0,19.64,78.23,19.05,4973.49,92740.42,250656.53,2,7,13,46,18,47.63777777777778,163,True,False,True,False,False,False,False,False,False,False,False,False,False,False
910148,305,1949-12-17,2023-03-24,23:59:16,32.46,382,5,7,16,60182,18,0,4,0,47.51,80.55,55.69,966.88,9279.45,815400.64,6,6,18,32,6,53.71666666666667,127,False,False,False,False,False,False,False,False,False,False,True,False,False,False
102729,303,1999-06-21,2023-01-31,18:19:22,7.62,481,0,1,9,7172,2,1,1,0,28.81,74.74,58.34,2726.0,4213.48,245933.5,4,4,4,36,17,56.283529411764704,194,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35135,455,1993-04-19,2022-12-20,17:43:34,70.39,123,0,4,14,72016,23,1,1,0,62.37,15.64,27.61,3068.83,91623.29,778686.98,6,10,11,10,9,81.80555555555556,147,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25718,251,1956-04-08,2022-07-10,08:26:40,83.05,533,2,3,9,16190,21,1,6,1,8.21,50.07,38.22,1036.18,87720.45,1011502.73,1,14,17,49,15,43.34733333333334,177,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10804,334,1963-12-24,2022-12-29,14:56:16,3.24,148,5,10,20,41909,16,0,3,0,73.12,83.03,19.39,1512.72,47250.47,920645.48,0,4,19,17,7,25.557142857142853,185,True,False,False,False,False,False,True,False,False,False,False,False,False,False
910148,220,1978-05-31,2022-08-14,11:24:47,63.42,269,3,6,15,82448,16,0,6,1,66.07,57.3,26.31,1578.4,10330.32,791037.26,0,6,8,12,22,52.22318181818182,103,True,False,False,False,False,False,False,False,True,False,False,False,False,False
749635,124,1981-12-19,2022-12-13,13:32:19,7.94,128,1,2,7,71446,3,1,1,0,36.94,88.21,58.07,523.29,77740.89,1046149.46,0,15,20,48,19,87.30947368421053,150,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12131,158,1960-06-05,2022-12-14,19:31:36,65.11,5,4,6,16,11796,19,0,2,0,30.67,33.91,9.67,3809.22,20964.49,240251.93,0,11,17,40,5,74.852,116,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1382480,74,1976-03-29,2023-01-18,12:42:14,4.2,596,3,6,14,75219,14,0,2,0,4.28,2.79,41.03,4944.89,82932.73,227099.72,5,14,20,32,32,42.6334375,188,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41356,6,1981-11-21,2022-08-19,22:34:21,29.94,510,4,4,11,44687,17,0,4,0,51.2,64.56,37.94,3340.82,50695.76,883175.44,6,12,21,43,14,75.18071428571429,155,False,False,False,False,False,False,False,False,False,False,False,True,False,False
172247,210,2003-04-02,2022-06-26,23:03:07,692.7,630,3,5,15,51023,0,1,6,1,67.92,21.22,4.5,4177.47,81990.89,475532.67,5,12,13,31,17,89.0064705882353,138,False,False,False,False,False,False,False,False,False,False,False,True,False,False
841711,45,1978-02-17,2022-12-24,12:53:22,35.17,5,3,4,10,23268,14,0,5,1,28.74,88.26,37.56,4160.39,2966.0,143839.83,7,13,17,22,18,85.14777777777778,116,True,False,False,False,False,True,False,False,False,False,False,False,False,False
87558,128,1987-02-16,2023-02-08,21:28:46,13.32,506,2,5,12,40902,14,0,2,0,27.58,75.38,10.73,3095.87,49891.63,55059.69,3,10,13,30,19,78.45421052631579,200,True,False,False,False,False,False,True,False,False,False,False,False,False,False
55786,344,1998-01-13,2022-07-02,03:36:22,172.03,94,5,9,15,8384,10,0,5,1,78.9,80.98,8.95,2245.47,23862.49,141619.25,3,3,10,15,18,93.35777777777778,197,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74438,161,1993-08-26,2022-09-08,21:17:01,89.98,616,4,5,10,73908,17,0,3,0,19.0,8.92,31.11,1506.75,11945.89,321815.65,5,14,21,48,21,154.56,126,False,False,False,False,False,False,False,False,False,False,False,True,False,False
129584,414,1978-08-30,2023-03-17,14:33:27,60.55,202,2,5,15,4190,8,0,4,0,36.86,35.58,54.01,1555.52,62907.21,676863.72,5,5,9,46,15,61.11333333333333,176,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7233,504,1939-02-06,2022-12-30,18:36:54,164.21,7,2,4,10,14146,18,0,4,0,61.6,80.23,23.09,3854.12,90040.76,888474.16,2,13,18,39,11,64.44545454545454,176,False,False,False,False,False,False,True,False,False,False,False,False,False,False
56047,83,1981-02-08,2022-11-30,22:21:56,20.42,56,4,9,15,20652,8,0,2,0,57.19,20.33,60.41,949.09,80766.1,513130.67,1,11,13,29,20,66.271,158,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35107,394,1953-08-18,2022-10-21,04:09:14,85.24,294,2,3,12,26833,21,1,4,0,58.69,40.75,26.22,4866.89,16767.24,233053.59,5,13,14,21,12,94.18333333333334,130,False,False,False,False,False,False,False,False,False,False,False,False,False,False
