timestamp,cpu_percent,memory_percent,memory_used_mb,memory_available_mb,process_memory_mb,disk_usage_percent,gpu_available,gpu_name,gpu_load_percent,gpu_memory_used_mb,gpu_memory_total_mb
2026-05-21T20:55:02,24.4,80.7,5024.66,3154.39,487.11,1.5,False,Not available,,,
2026-05-21T20:55:04,47.3,80.7,5183.45,3161.83,726.53,1.5,False,Not available,,,
2026-05-21T20:55:06,100.0,80.9,5223.11,3134.0,822.62,1.5,False,Not available,,,
2026-05-21T20:55:08,93.9,81.1,5229.5,3100.81,742.16,1.5,False,Not available,,,
2026-05-21T20:55:10,100.0,81.3,5203.98,3070.61,684.28,1.5,False,Not available,,,
2026-05-21T20:55:12,100.0,81.6,5150.91,3019.31,616.59,1.5,False,Not available,,,
2026-05-21T20:55:14,100.0,81.6,5144.0,3019.34,626.28,1.5,False,Not available,,,
2026-05-21T20:55:16,42.7,82.3,4764.59,2893.64,540.14,1.5,False,Not available,,,
2026-05-21T20:55:18,48.7,81.9,4728.56,2966.31,594.64,1.5,False,Not available,,,
2026-05-21T20:55:21,52.6,83.0,4924.36,2790.31,492.78,1.5,False,Not available,,,
2026-05-21T20:55:23,58.7,81.5,4828.19,3027.64,471.62,1.5,False,Not available,,,
2026-05-21T20:55:25,94.7,82.5,5076.02,2872.62,398.83,1.5,False,Not available,,,
2026-05-21T20:55:27,99.4,82.3,5072.44,2894.27,393.77,1.5,False,Not available,,,
2026-05-21T20:55:29,99.4,82.4,5227.64,2888.62,303.83,1.5,False,Not available,,,
2026-05-21T20:55:31,99.8,82.4,5064.42,2889.09,137.22,1.5,False,Not available,,,
2026-05-21T20:55:33,99.1,81.4,4851.64,3050.61,125.3,1.5,False,Not available,,,
2026-05-21T20:55:35,99.5,81.5,4963.88,3038.12,125.69,1.5,False,Not available,,,
2026-05-21T20:55:37,99.6,81.5,5049.97,3023.3,126.06,1.5,False,Not available,,,
2026-05-21T20:55:39,99.0,81.6,5097.34,3017.81,129.12,1.5,False,Not available,,,
2026-05-21T20:55:41,96.5,82.3,5037.03,2905.2,118.47,1.5,False,Not available,,,
2026-05-21T20:55:43,77.7,81.9,4862.23,2967.16,210.75,1.5,False,Not available,,,
2026-05-21T20:55:45,49.9,83.1,5067.38,2768.88,283.05,1.5,False,Not available,,,
2026-05-21T20:55:47,60.0,82.8,4941.8,2817.91,323.12,1.5,False,Not available,,,
2026-05-21T20:55:49,30.2,82.7,4952.89,2828.89,302.38,1.5,False,Not available,,,
