timestamp,cpu_percent,memory_percent,memory_used_mb,memory_available_mb,process_memory_mb,disk_usage_percent,gpu_available,gpu_name,gpu_load_percent,gpu_memory_used_mb,gpu_memory_total_mb
2026-05-21T20:54:08,0.0,77.4,5497.2,3709.7,362.16,1.5,False,Not available,,,
2026-05-21T20:54:10,76.1,80.9,5275.72,3121.31,364.58,1.5,False,Not available,,,
2026-05-21T20:54:12,66.4,80.7,5304.7,3168.8,365.25,1.5,False,Not available,,,
2026-05-21T20:54:14,65.4,80.7,5315.0,3169.52,365.3,1.5,False,Not available,,,
2026-05-21T20:54:16,70.7,81.8,5140.88,2980.97,364.5,1.5,False,Not available,,,
2026-05-21T20:54:18,28.8,80.7,4955.05,3154.11,451.09,1.5,False,Not available,,,
2026-05-21T20:54:20,30.1,80.7,5204.17,3162.11,453.97,1.5,False,Not available,,,
2026-05-21T20:54:22,26.8,80.7,5263.78,3155.06,492.77,1.5,False,Not available,,,
2026-05-21T20:54:24,36.3,80.8,5321.58,3147.25,612.48,1.5,False,Not available,,,
2026-05-21T20:54:26,83.3,83.7,4849.75,2675.83,489.8,1.5,False,Not available,,,
2026-05-21T20:54:28,67.7,83.3,4875.25,2731.11,436.42,1.5,False,Not available,,,
2026-05-21T20:54:30,66.3,82.3,4788.06,2900.0,435.61,1.5,False,Not available,,,
2026-05-21T20:54:32,65.5,82.4,4812.72,2891.08,435.61,1.5,False,Not available,,,
2026-05-21T20:54:34,65.5,82.4,4846.22,2880.55,437.91,1.5,False,Not available,,,
2026-05-21T20:54:36,69.2,83.1,4915.72,2772.0,431.8,1.5,False,Not available,,,
2026-05-21T20:54:38,66.9,83.3,4875.45,2732.56,285.83,1.5,False,Not available,,,
2026-05-21T20:54:40,66.7,81.9,4695.5,2964.7,283.86,1.5,False,Not available,,,
2026-05-21T20:54:42,65.2,82.0,4732.28,2953.12,283.86,1.5,False,Not available,,,
2026-05-21T20:54:44,48.9,82.4,4968.94,2891.53,504.47,1.5,False,Not available,,,
2026-05-21T20:54:46,26.3,82.4,5002.41,2883.09,518.69,1.5,False,Not available,,,
2026-05-21T20:54:48,31.4,82.6,4992.27,2856.23,452.88,1.5,False,Not available,,,
2026-05-21T20:54:50,46.2,80.2,4872.09,3247.52,453.0,1.5,False,Not available,,,
2026-05-21T20:54:52,26.1,80.2,4887.52,3238.5,453.0,1.5,False,Not available,,,
2026-05-21T20:54:54,26.8,80.3,4902.81,3231.33,453.0,1.5,False,Not available,,,
2026-05-21T20:54:56,28.3,80.4,4955.55,3206.45,453.44,1.5,False,Not available,,,
2026-05-21T20:54:58,31.6,81.6,5150.61,3021.52,453.44,1.5,False,Not available,,,
2026-05-21T20:55:00,31.2,80.5,4920.42,3198.86,416.31,1.5,False,Not available,,,
