         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87/19    0.007    0.000  128.519    6.764 text.py:926(get_window_extent)
  179/141    0.002    0.000   95.716    0.679 _param_validation.py:187(wrapper)
        2    0.000    0.000   95.641   47.821 train_model.py:248(_run_stratified_cv)
        2    0.000    0.000   95.639   47.820 _validation.py:493(cross_val_score)
        2    0.001    0.001   95.557   47.779 _validation.py:75(cross_validate)
        2    0.006    0.003   95.553   47.776 parallel.py:54(__call__)
       12    0.015    0.001   95.307    7.942 process_executor.py:671(wait_result_broken_or_wakeup)
     8517   94.578    0.011   94.579    0.011 {built-in method time.sleep}
   137/17    0.002    0.000   90.708    5.336 text.py:358(_get_layout)
   295/35    0.000    0.000   90.253    2.579 text.py:65(_get_text_metrics_with_cache)
      9/7    0.000    0.000   86.345   12.335 text.py:73(_get_text_metrics_with_cache_impl)
       25    0.008    0.000   86.305    3.452 backend_agg.py:206(get_text_width_height_descent)
  184/165    0.019    0.000   71.134    0.431 queue.py:180(get)
      2/1    0.000    0.000   51.029   51.029 axis.py:1337(get_tightbbox)
      6/3    0.003    0.001   43.073   14.358 base.py:1319(wrapper)
      488    0.007    0.000   42.480    0.087 __init__.py:1(<module>)
        2    0.002    0.001   42.447   21.224 _logistic.py:1086(fit)
        2    0.002    0.001   42.337   21.169 _logistic.py:86(_logistic_regression_path)
        2    0.001    0.000   42.296   21.148 _minimize.py:54(minimize)
        2    0.013    0.006   42.295   21.148 _lbfgsb_py.py:294(_minimize_lbfgsb)
     2138    0.006    0.000   42.177    0.020 _differentiable_functions.py:409(fun_and_grad)
     2140    0.003    0.000   42.128    0.020 _differentiable_functions.py:360(_update_fun)
     2138    0.010    0.000   42.125    0.020 _util.py:600(__call__)
     2138    0.002    0.000   42.112    0.020 _optimize.py:78(__call__)
     4276    0.330    0.000   41.835    0.010 _optimize.py:71(_compute_if_needed)
     2138   20.653    0.010   41.479    0.019 _linear_loss.py:269(loss_gradient)
        6    0.000    0.000   41.201    6.867 axis.py:2438(_update_label_position)
     23/6    0.000    0.000   41.198    6.866 axis.py:1328(_get_ticklabel_bboxes)
     11/3    0.000    0.000   41.198   13.733 axis.py:2223(_get_tick_boxes_siblings)
       34    0.003    0.000   26.261    0.772 connection.py:1134(wait)
    43/34    0.064    0.001   25.976    0.764 selectors.py:385(select)
  4116/79    0.013    0.000   10.093    0.128 <frozen importlib._bootstrap>:1349(_find_and_load)
  4062/79    0.011    0.000   10.091    0.128 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  3579/77    0.005    0.000   10.087    0.131 <frozen importlib._bootstrap_external>:1020(exec_module)
  3828/24    0.008    0.000   10.078    0.420 <frozen importlib._bootstrap>:911(_load_unlocked)
